epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.80002,1.87643,3.91458,2.0394,0.00216,0.73333,0.17463,0.07371,1.76246,4.48484,2.24654,2.858e-05,2.858e-05,2.858e-05
2,15.391,1.54248,3.55484,1.74662,0.00249,0.8,0.16888,0.11899,1.53543,4.24536,1.99152,7.00353e-05,7.00353e-05,7.00353e-05
3,22.7591,1.24174,3.32979,1.52236,0.00299,0.8,0.22025,0.15623,1.22951,4.15385,1.69442,0.000109793,0.000109793,0.000109793
4,30.0991,1.09946,2.91864,1.40088,0.00361,0.86667,0.62123,0.33332,1.23049,4.05972,1.54559,0.000147853,0.000147853,0.000147853
5,37.3443,0.93784,2.15437,1.21445,0.00355,0.86667,0.61486,0.37578,1.15562,3.66686,1.4113,0.000184215,0.000184215,0.000184215
6,44.5519,0.96536,1.90213,1.32738,0.00373,1,0.6337,0.42842,1.01056,3.48815,1.30977,0.00021888,0.00021888,0.00021888
7,51.7688,0.91604,1.72937,1.24093,0.00358,1,0.66215,0.51077,0.88971,3.51116,1.22141,0.000251847,0.000251847,0.000251847
8,58.9497,0.99878,1.53053,1.29184,0.00357,1,0.65602,0.49171,0.92961,3.5481,1.26386,0.000283116,0.000283116,0.000283116
