epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,29.3031,0.72371,0.9871,1.08441,0.89316,0.99613,0.995,0.81148,0.8708,1.02594,1.14481,0.000600384,0.000600384,0.000600384
43,29.9567,0.7267,0.9819,1.09001,0.8882,1,0.995,0.80098,0.86241,1.02173,1.13193,0.000580174,0.000580174,0.000580174
44,30.6212,0.78902,0.95837,1.08311,0.88008,0.98278,0.995,0.80307,0.84156,1.0147,1.12727,0.000559964,0.000559964,0.000559964
45,31.3019,0.74441,0.96592,1.10116,0.88008,0.98278,0.995,0.80307,0.84156,1.0147,1.12727,0.000539754,0.000539754,0.000539754
46,32.0152,0.74309,1.01736,1.0916,0.89047,0.97418,0.995,0.81964,0.81335,0.9726,1.10876,0.000519544,0.000519544,0.000519544
47,32.6809,0.77156,0.97602,1.09953,0.93972,0.94032,0.995,0.80778,0.79386,0.88214,1.10359,0.000499333,0.000499333,0.000499333
48,33.347,0.68789,0.90076,1.06735,0.93041,0.94069,0.995,0.79535,0.81107,0.87562,1.14716,0.000479123,0.000479123,0.000479123
49,34.0168,0.72165,0.95129,1.06544,0.93041,0.94069,0.995,0.79535,0.81107,0.87562,1.14716,0.000458913,0.000458913,0.000458913
50,34.6898,0.75882,0.94639,1.11522,0.92791,0.94143,0.995,0.79422,0.83057,0.84825,1.17124,0.000438703,0.000438703,0.000438703
51,35.3588,0.7079,0.95582,1.04266,0.94971,0.93874,0.995,0.80101,0.83562,0.84846,1.17906,0.000418493,0.000418493,0.000418493
52,36.0212,0.6807,0.91156,1.02453,0.94634,0.93816,0.995,0.76277,0.86119,0.87072,1.2106,0.000398283,0.000398283,0.000398283
53,36.7245,0.70797,0.95586,1.09267,0.94634,0.93816,0.995,0.76277,0.86119,0.87072,1.2106,0.000378073,0.000378073,0.000378073
54,37.3752,0.70554,0.93583,1.06882,0.94259,0.93789,0.995,0.78673,0.84284,0.86584,1.20674,0.000357862,0.000357862,0.000357862
55,38.0949,0.64182,0.90877,1.05394,0.93476,0.93856,0.995,0.80259,0.80059,0.83279,1.17805,0.000337652,0.000337652,0.000337652
56,38.8099,0.64476,0.88345,1.05796,0.92338,0.94124,0.995,0.79785,0.80323,0.84465,1.1803,0.000317442,0.000317442,0.000317442
57,39.4476,0.73873,0.81746,1.04016,0.92338,0.94124,0.995,0.79785,0.80323,0.84465,1.1803,0.000297232,0.000297232,0.000297232
58,40.1077,0.73347,0.84354,1.08077,0.89606,0.96476,0.995,0.79839,0.8065,0.84306,1.18022,0.000277022,0.000277022,0.000277022
59,40.8258,0.66071,0.81965,1.07595,0.88583,0.9773,0.995,0.79621,0.79386,0.83202,1.16342,0.000256812,0.000256812,0.000256812
60,41.4807,0.70154,0.91628,1.06136,0.91304,0.95442,0.995,0.82101,0.78004,0.80423,1.13937,0.000236602,0.000236602,0.000236602
61,46.1523,0.57948,1.15603,1.02109,0.91304,0.95442,0.995,0.82101,0.78004,0.80423,1.13937,0.000216391,0.000216391,0.000216391
62,46.7765,0.52986,1.06398,1.01688,0.93987,0.94005,0.995,0.82604,0.75849,0.79766,1.11396,0.000196181,0.000196181,0.000196181
63,47.4148,0.53912,1.07422,0.97039,0.95641,0.93897,0.995,0.8244,0.75591,0.84729,1.10356,0.000175971,0.000175971,0.000175971
64,48.0538,0.56278,1.10167,1.05326,0.96416,0.93907,0.995,0.8244,0.7374,0.91629,1.08557,0.000155761,0.000155761,0.000155761
65,48.7281,0.54457,1.09383,1.00543,0.96416,0.93907,0.995,0.8244,0.7374,0.91629,1.08557,0.000135551,0.000135551,0.000135551
66,49.3812,0.55034,1.11511,1.00783,0.96808,0.93962,0.995,0.8244,0.72453,0.94444,1.07536,0.000115341,0.000115341,0.000115341
67,50.0226,0.53237,1.15714,0.98558,0.96842,0.93996,0.995,0.81813,0.71196,0.92179,1.06776,9.51306e-05,9.51306e-05,9.51306e-05
68,50.657,0.5501,1.12959,1.00035,0.96295,0.94076,0.995,0.84092,0.71455,0.8902,1.07006,7.49204e-05,7.49204e-05,7.49204e-05
69,51.3102,0.52433,1.12513,0.99224,0.96295,0.94076,0.995,0.84092,0.71455,0.8902,1.07006,5.47103e-05,5.47103e-05,5.47103e-05
70,51.9747,0.51574,1.09625,0.98373,0.96256,0.94114,0.995,0.83426,0.71324,0.85619,1.06998,3.45001e-05,3.45001e-05,3.45001e-05
